id,original_dialogue,translated_dialogue,original_summary,translated_summary
13862856,"Hannah: Hey, do you have Betty's number?
Amanda: Lemme check
Hannah: <file_gif>
Amanda: Sorry, can't find it.
Amanda: Ask Larry
Amanda: He called her last time we were at the park together
Hannah: I don't know him well
Hannah: <file_gif>
Amanda: Don't be shy, he's very nice
Hannah: If you say so..
Hannah: I'd rather you texted him
Amanda: Just text him 🙂
Hannah: Urgh.. Alright
Hannah: Bye
Amanda: Bye bye","هانا: هی، شماره بتی رو داری؟
آماندا: بذار چک کنم
هانا: <file_gif>
آماندا: ببخشید، نمی‌تونم پیدا کنم.
آماندا: از لری بپرس
آماندا: آخرین بار که با هم تو پارک بودیم بهش زنگ زد
هانا: من خیلی خوب نمی‌شناسمش
هانا: <file_gif>
آماندا: خجالت نکش، خیلی آدم مهربونی هست
هانا: اگر تو می‌گی...
هانا: ترجیح می‌دم تو بهش پیام بدی
آماندا: فقط بهش پیام بده 🙂
هانا: اوف.. باشه
هانا: خداحافظ
آماندا: خداحافظ",Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,هانا به شماره‌ی بث نیاز دارد اما Amanda آن را ندارد. او باید با لری تماس بگیرد.
13729565,"Eric: MACHINE!
Rob: That's so gr8!
Eric: I know! And shows how Americans see Russian ;)
Rob: And it's really funny!
Eric: I know! I especially like the train part!
Rob: Hahaha! No one talks to the machine like that!
Eric: Is this his only stand-up?
Rob: Idk. I'll check.
Eric: Sure.
Rob: Turns out no! There are some of his stand-ups on youtube.
Eric: Gr8! I'll watch them now!
Rob: Me too!
Eric: MACHINE!
Rob: MACHINE!
Eric: TTYL?
Rob: Sure :)","إریک: ماشین!
راب: خیلی عالیه!
إریک: می‌دونم! و نشون میده که آمریکایی‌ها چطور به روس‌ها نگاه می‌کنن ;)
راب: و واقعاً خنده‌داره!
إریک: می‌دونم! بخصوص بخش قطار رو دوست دارم!
راب: hahah! هیچ کس اینطوری با ماشین حرف نمی‌زند!
إریک: آیا این تنها استندآپ اوست؟
راب: نمی‌دونم. چک می‌کنم.
إریک: مطمئناً.
راب: معلوم شد نه! چند تا از استندآپ‌های او در یوتیوب هست.
إریک: عالیه! حالا تماشا می‌کنم!
راب: من هم همینطور!
إریک: ماشین!
راب: ماشین!
إریک: بعداً می‌بینمت؟
راب: بی‌خیال :)",Eric and Rob are going to watch a stand-up on youtube.,اریک و راب قصد دارند یک استندآپ کمدی را در یوتیوب تماشا کنند.
13680171,"Lenny: Babe, can you help me with something?
Bob: Sure, what's up?
Lenny: Which one should I pick?
Bob: Send me photos
Lenny:  <file_photo>
Lenny:  <file_photo>
Lenny:  <file_photo>
Bob: I like the first ones best
Lenny: But I already have purple trousers. Does it make sense to have two pairs?
Bob: I have four black pairs :D :D
Lenny: yeah, but shouldn't I pick a different color?
Bob: what matters is what you'll give you the most outfit options
Lenny: So I guess I'll buy the first or the third pair then
Bob: Pick the best quality then
Lenny: ur right, thx
Bob: no prob :)","لنی: عزیزم، می‌تونی به من یه کم کمک کنی؟  
باب: حتماً، چه خبره؟  
لنی: کدوم رو باید انتخاب کنم؟  
باب: عکس‌ها رو برام بفرست  
لنی: <file_photo>  
لنی: <file_photo>  
لنی: <file_photo>  
باب: من اولین‌ها رو بیشتر دوست دارم  
لنی: ولی من قبلاً شلوار بنفش دارم. آیا منطقیه که دو جفت داشته باشم؟  
باب: من چهار جفت شلوار مشکی دارم :D :D  
لنی: آره، ولی نباید رنگ متفاوتی انتخاب کنم؟  
باب: چیزی که مهمه اینه که چه چیزی به تو بیشتر گزینه‌های پوشیدنی میده  
لنی: پس فکر می‌کنم جفت اول یا سوم رو می‌خرم  
باب: پس بهترین کیفیت رو انتخاب کن  
لنی: راست می‌گی، مرسی  
باب: مشکلی نیست :)",Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,لنی نمی‌تواند تصمیم بگیرد که کدام شلوار را بخرد. باب در این مورد به لنی مشاوره داد. لنی با پیشنهاد باب موافقت می‌کند و شلواری را انتخاب می‌کند که بهترین کیفیت را دارد.
13729438,"Will: hey babe, what do you want for dinner tonight?
Emma:  gah, don't even worry about it tonight
Will: what do you mean? everything ok?
Emma: not really, but it's ok, don't worry about cooking though, I'm not hungry
Will: Well what time will you be home?
Emma: soon, hopefully
Will: you sure? Maybe you want me to pick you up?
Emma: no no it's alright. I'll be home soon, i'll tell you when I get home. 
Will: Alright, love you. 
Emma: love you too. ","ویل: هی عزیزم، امشب برای شام چه چیزی می‌خواهی؟  
اما: اه، اصلاً بهش فکر نکن.  
ویل: منظورت چیه؟ همه چیز خوبه؟  
اما: راستش نه، ولی مهم نیست. نگران پخت و پز نباش، من گرسنه نیستم.  
ویل: خوب، چه ساعتی به خانه می‌رسی؟  
اما: به زودی، امیدوارم.  
ویل: مطمئنی؟ شاید دلت بخواد بیام دنبالت؟  
اما: نه، نه، مشکلی نیست. به زودی می‌رسم، وقتی به خانه رسیدم بهت می‌گم.  
ویل: خوب، دوستت دارم.  
اما: منم دوستت دارم.",Emma will be home soon and she will let Will know.,اما به زودی به خانه خواهد آمد و به ویل اطلاع خواهد داد.
13828600,"Ollie: Hi , are you in Warsaw
Jane: yes, just back! Btw are you free for diner the 19th?
Ollie: nope!
Jane: and the  18th?
Ollie: nope, we have this party and you must be there, remember?
Jane: oh right! i lost my calendar..  thanks for reminding me
Ollie: we have lunch this week?
Jane: with pleasure!
Ollie: friday?
Jane: ok
Jane: what do you mean "" we don't have any more whisky!"" lol..
Ollie: what!!!
Jane: you just call me and the all thing i heard was that sentence about whisky... what's wrong with you?
Ollie: oh oh... very strange! i have to be carefull may be there is some spy in my mobile! lol
Jane: dont' worry, we'll check on friday.
Ollie: don't forget to bring some sun with you
Jane: I can't wait to be in Morocco..
Ollie: enjoy and see you friday
Jane: sorry Ollie, i'm very busy, i won't have time for lunch  tomorrow, but may be at 6pm after my courses?this trip to Morocco was so nice, but time consuming!
Ollie: ok for tea!
Jane: I'm on my way..
Ollie: tea is ready, did you bring the pastries?
Jane: I already ate them all... see you in a minute
Ollie: ok","اُلی: سلام، آیا در ورشو هستی؟
جین: بله، تازه برگشتم! راستی آیا برای شام در تاریخ ۱۹ آزاد هستی؟
اُلی: نه!
جین: و در تاریخ ۱۸؟
اُلی: نه، ما یک مهمانی داریم و تو باید آنجا باشی، یادت هست؟
جین: آه درست است! تقویمم را گم کردم... مرسی که یادم انداختی.
اُلی: این هفته ناهار داریم؟
جین: با کمال میل!
اُلی: جمعه؟
جین: باشه.
جین: منظورت از ""دیگر ویسکی نداریم!"" چیه؟ 😂
اُلی: چی!!!
جین: تو فقط به من زنگ زدی و تمام چیزی که شنیدم همین جمله درباره ویسکی بود... چه خبراته م؟
اُلی: اوه اوه... خیلی عجیب است! باید احتیاط کنم، شاید یک جاسوس در موبایلم هست! 😂
جین: نگران نباش، جمعه بررسی میکنیم.
اُلی: یادت نرود مقداری آفتاب هم با خودت بیاوری.
جین: نمی‌توانم صبر کنم تا به مراکش برسم...
اُلی: لذت ببر و تا جمعه می‌بینمت.
جین: ببخشید اُلی، خیلی مشغولم، فردا فرصتی برای ناهار نخواهم داشت، اما شاید ساعت ۶ بعد از کلاس‌هایم؟ این سفر به مراکش خیلی خوب بود، اما زمان‌بر!
اُلی: برای چای ok!
جین: در راه هستم...
اُلی: چای آماده است، آیا شیرینی‌ها را آوردی؟
جین: همه‌شون را خوردم... یک دقیقه دیگه می‌بینمت.
اُلی: ok",Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,جین در ورشو است. آلی و جین یک مهمانی دارند. جین تقویمش را گم کرده است. آنها قرار است این هفته روز جمعه ناهار بخورند. آلی به‌طور تصادفی به جین زنگ زد و درباره‌ی ویسکی صحبت کرد. جین ناهار را لغو می‌کند. آنها ساعت ۶ بعدازظهر برای چای ملاقات خواهند کرد.
13716964,"Benjamin: Hey guys, what are we doing with the keys today?
Hilary: I've got them. Whoever wants them can meet me at lunchtime or after
Elliot: I'm ok. We're meeting for the drinks in the evening anyway and I guess we'll be going back to the apartment together?
Hilary: Yeah, I guess so
Daniel: I'm with Hilary atm and won't let go of her for the rest of the day, so any option you guys choose is good for me
Benjamin: Hmm I might actually pass by at lunchtime, take the keys and go take a nap. I'm sooo tired after yesterday
Hilary: Sounds good. We'll be having lunch with some French people (the ones who work on the history of food in colonial Mexico - I already see you yawning your head off)
Benjamin: YAAAAWN 🙊 Where and where are you meeting?
Hilary: So I'm meeting them at the entrance to the conference hall at 2 pm and then we'll head to this place called La Cantina. Italian cuisine, which is quite funny, but that's what they've chosen
Benjamin: Interesting 😱 To be honest, Hilary, I almost feel like changing my mind. Wanting to take this nap might end up costing me to dear
Hilary: Oh come on 😂
Benjamin: All these terrible obstacles on mu way to bed might just prove to much to take
Hilary: We'll try to avoid talking about their subject of research. Oh wait, no, I'm actually meeting them because I wanted to chat about their research lol
Elliot: 🙉
Hilary: Do join us, we're going to have fun. And then you'll take the keys and take this most deserved of naps
Elliot: Sounds like a plan 😂
Hilary: 😎
Elliot: See you at 2 then xx","بنجامین: هی بچه‌ها، امروز می‌خواهیم با کلیدها چی کار کنیم؟  
هیلاری: من کلیدها رو دارم. هر کسی که می‌خواد می‌تونه در زمان ناهار یا بعد از اون با من ملاقات کنه.  
الیوت: من خوبم. به هر حال ما در شب برای نوشیدنی‌ها ملاقات داریم و فکر می‌کنم که با هم به آپارتمان برمی‌گردیم؟  
هیلاری: بله، فکر کنم همینطور باشه.  
دنیل: من الآن با هیلاری هستم و اجازه نمی‌دم که برای بقیه روز بره، بنابراین هر انتخابی که شما بچه‌ها بکنید برای من خوبه.  
بنجامین: Hmm، ممکنه در زمان ناهار بیام، کلیدها رو بگیرم و یک کم چرت بزنم. من بعد از دیروز خیلی خسته‌ام.  
هیلاری: خوب به نظر می‌رسه. ما با چند تا فرانسوی ناهار داریم (اونا کسایی هستند که روی تاریخ غذا در مکزیک استعمار شده کار می‌کنند - من به وضوح می‌بینم که تو داری یواشکی چرت می‌زنی).  
بنجامین: یاااااا. کجا و کجا ملاقات می‌کنید؟  
هیلاری: من ساعت ۲ بعد از ظهر در ورودی تالار کنفرانس با اونا ملاقات می‌کنم و بعد به جایی به نام La Cantina می‌رویم. غذاهای ایتالیایی، که خیلی جالب است، اما همینه که انتخاب کردن.  
بنجامین: جالب 😱 راستش، هیلاری، تقریباً حس می‌کنم که بخوام نظرم رو عوض کنم. اینکه بخوام این چرت رو بزنم ممکنه برام خیلی هزینه‌بر باشه.  
هیلاری: اوه، بیا دیگه 😂  
بنجامین: همه این موانع وحشتناک بر سر راهم به سمت خواب ممکنه بیش از حد تحمل‌پذیر باشه.  
هیلاری: سعی می‌کنیم درباره موضوع تحقیق‌ اونها صحبت نکنیم. اوه صبر کن، نه، من واقعاً باهاشون ملاقات می‌کنم چون می‌خواستم درباره تحقیق‌شون صحبت کنم lol  
الیوت: 🙉  
هیلاری: به ما بپیوندید، ما خوش می‌گذرانیم. و بعد تو کلیدها رو می‌گیری و این چرت بسیار شایسته‌ رو می‌زنی.  
الیوت: به نظر می‌رسه برنامه خوبی باشه 😂  
هیلاری: 😎  
الیوت: پس ساعت ۲ می‌بینمت xx",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,هیلاری کلیدهای آپارتمان را دارد. بنجامین می‌خواهد آن‌ها را بگیرد و برود یک چرت بزند. هیلاری در حال ناهار خوردن با چند نفر فرانسوی در لا کنتینا است. هیلاری قرار است در ساعت ۲ بعدازظهر در ورودی سالن کنفرانس با آن‌ها ملاقات کند. بنجامین و الیوت ممکن است به آن‌ها ملحق شوند. آن‌ها در حال برنامه‌ریزی برای صرف نوشیدنی در عصر هستند.
13731487,"Max: Know any good sites to buy clothes from?
Payton: Sure :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
Max: That's a lot of them!
Payton: Yeah, but they have different things so I usually buy things from 2 or 3 of them.
Max: I'll check them out. Thanks. 
Payton: No problem :)
Max: How about u?
Payton: What about me?
Max: Do u like shopping?
Payton: Yes and no.
Max: How come?
Payton: I like browsing, trying on, looking in the mirror and seeing how I look, but not always buying.
Max: Y not?
Payton: Isn't it obvious? ;)
Max: Sry ;)
Payton: If I bought everything I liked, I'd have nothing left to live on ;)
Max: Same here, but probably different category ;)
Payton: Lol
Max: So what do u usually buy?
Payton: Well, I have 2 things I must struggle to resist!
Max: Which are?
Payton: Clothes, ofc ;)
Max: Right. And the second one?
Payton: Books. I absolutely love reading!
Max: Gr8! What books do u read?
Payton: Everything I can get my hands on :)
Max: Srsly?
Payton: Yup :)","مکس: سایتی برای خرید لباس می‌شناسی؟
پی‌تن: البته :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> <file_other>
مکس: این تعداد زیادی هست!
پی‌تن: آره، اما هرکدام چیزهای مختلفی دارند، بنابراین معمولاً از ۲ یا ۳ تا از اونها خرید می‌کنم.
مکس: حتماً چک می‌کنم. مرسی.
پی‌تن: مشکلی نیست :)
مکس: تو چطور؟
پی‌تن: چه خبر من؟
مکس: آیا خرید کردن را دوست داری؟
پی‌تن: بله و نه.
مکس: چرا؟
پی‌تن: من دوست دارم مرور کنم، لباس‌ها را پرو کنم، در آینه نگاه کنم و ببینم چطور به نظر می‌آیم، اما همیشه نمی‌خرم.
مکس: چرا نه؟
پی‌تن: آیا مشخص نیست؟ ;)
مکس: ببخشید ;)
پی‌تن: اگر همه چیزهایی را که دوست دارم می‌خریدم، هیچ چیزی برای زندگی نداشت />
مکس: من هم همینطورم، اما احتمالاً در دسته‌بندی متفاوتی ;)
پی‌تن: خنده‌دار
مکس: پس معمولاً چه چیزی می‌خری؟
پی‌تن: خوب، ۲ چیز دارم که باید با خودم مبارزه کنم تا خرید نکنم!
مکس: چه چیزهایی هستند؟
پی‌تن: لباس، البته ;)
مکس: درست. و دومی؟
پی‌تن: کتاب‌ها. من واقعاً عاشق خواندن هستم!
مکس: عالی! چه کتاب‌هایی می‌خوانی؟
پی‌تن: هر چیزی که بتوانم به دست بیاورم :)
مکس: واقعاً؟
پی‌تن: بله :)",Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,پییتون به مکس وب‌سایت‌هایی را برای خرید لباس معرفی می‌کند. پییتون از گشت و گذار و امتحان کردن لباس‌ها لذت می‌برد اما لزوماً آن‌ها را نمی‌خرد. پییتون معمولاً لباس و کتاب می‌خرد زیرا عاشق خواندن است.
13814882,"Rita: I'm so bloody tired. Falling asleep at work. :-(
Tina: I know what you mean.
Tina: I keep on nodding off at my keyboard hoping that the boss doesn't notice..
Rita: The time just keeps on dragging on and on and on.... 
Rita: I keep on looking at the clock and there's still 4 hours of this drudgery to go.
Tina: Times like these I really hate my work.
Rita: I'm really not cut out for this level of boredom.
Tina: Neither am I.","ریتا: واقعاً خسته‌ام. دارم توی کار می‌خوابم. :-(
تینا: می‌فهمم چی می‌گی.
تینا: مدام جلوی کیبورد دارم چرت می‌زنم و امیدوارم رئیس متوجه نشه...
ریتا: وقت مثل جغدی کش میاد و کش میاد و کش میاد....
ریتا: مدام به ساعت نگاه می‌کنم و هنوز ۴ ساعت دیگه از این خستگی باقی‌مونه.
تینا: توی این مواقع واقعاً از کارم بدم میاد.
ریتا: من واقعاً برای این سطح از کسالت درست نشده‌ام.
تینا: من هم همینطور.",Rita and Tina are bored at work and have still 4 hours left.,ریتا و تینا در محل کار خسته‌اند و هنوز ۴ ساعت وقت دارند.
13680876,"Beatrice: I am in town, shopping. They have nice scarfs in the shop next to the church. Do you want one?
Leo: No, thanks
Beatrice: But you don't have a scarf.
Leo: Because I don't need it.
Beatrice: Last winter you had a cold all the time. A scarf could help.
Leo: I don't like them.
Beatrice: Actually, I don't care. You will get a scarf.
Leo: How understanding of you!
Beatrice: You were complaining the whole winter that you're going to die. I've had enough.
Leo: Eh.","بئاتریس: من در شهر هستم، خرید می‌کنم. در فروشگاه کناری کلیسا شال‌های قشنگی دارند. می‌خواهی یکی بخری؟
لئو: نه، ممنون.
بئاتریس: اما تو یک شال نداری.
لئو: چون به آن احتیاج ندارم.
بئاتریس: زمستان گذشته همیشه سرما خورده بودی. یک شال می‌توانست کمک کند.
لئو: من آن‌ها را دوست ندارم.
بئاتریس: راستش، برای من مهم نیست. تو یک شال خواهی گرفت.
لئو: چه فهمیده‌ای!
بئاتریس: تو تمام زمستان شکایت می‌کردی که می‌میرم. من به اندازه کافی تحمل کردم.
لئو: اه.","Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",بئاتریس می‌خواهد برای لئو یک شال بخرد، اما او شال‌ها را دوست ندارد. او به سلامتی او اهمیت می‌دهد و به هر حال برای او یک شال خواهد خرید.
13809974,"Ivan: hey eric
Eric: yeah man
Ivan: so youre coming to the wedding
Eric: your brother's
Ivan: yea
Eric: i dont know mannn
Ivan: YOU DONT KNOW??
Eric: i just have a lot to do at home, plus i dont know if my parents would let me
Ivan: ill take care of your parents
Eric: youre telling me you have the guts to talk to them XD
Ivan: thats my problem
Eric: okay man, if you say so
Ivan: yea just be there 
Eric: alright","ایوان: هی اِریک  
اریک: آره داداش  
ایوان: پس به عروسی میای؟  
اریک: عروسی برادرته  
ایوان: آره  
اریک: نمی‌دونم داداش  
ایوان: نمی‌دونی؟؟  
اریک: من خیلی کار دارم تو خونه، به اضافه اینکه نمی‌دونم والدینم اجازه میدن یا نه  
ایوان: من از پس والدینت برمیام  
اریک: تو به من می‌گی جرأت داری باهاشون صحبت کنی XD  
ایوان: این مشکل من هست  
اریک: باشه داداش، هر چی که بگی  
ایوان: آره فقط اونجا باش  
اریک: باشه",Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,اریک نمی‌داند که آیا والدینش اجازه می‌دهند به عروسی برادر ایوان برود یا نه. ایوان با آن‌ها صحبت خواهد کرد.
